                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.1542,                0.77421,                 1.0491,                0.76189,                0.68482,                0.71854,                0.42208,                 1.5327,                 1.1388,                 1.2804,             0.00069602,             0.00069602,             0.00069602
                     74,                 1.0971,                0.74686,                 1.0274,                0.75389,                0.66448,                0.71267,                0.42817,                  1.522,                 1.1639,                 1.2722,             0.00069302,             0.00069302,             0.00069302
                     75,                 1.1227,                0.76097,                 1.0386,                  0.774,                0.68228,                0.73434,                0.44238,                 1.5041,                 1.0807,                 1.2691,             0.00069002,             0.00069002,             0.00069002
                     76,                 1.1066,                0.75547,                 1.0297,                0.79487,                0.66836,                0.70702,                0.42763,                 1.5302,                 1.0859,                   1.29,             0.00068702,             0.00068702,             0.00068702
                     77,                 1.0901,                0.75794,                 1.0312,                0.74706,                0.66575,                0.69839,                 0.4105,                 1.5705,                 1.1376,                 1.2988,             0.00068402,             0.00068402,             0.00068402
                     78,                 1.0593,                0.72997,                 1.0194,                0.80787,                0.63604,                 0.7225,                0.42467,                 1.5294,                  1.085,                 1.3011,             0.00068102,             0.00068102,             0.00068102
                     79,                 1.0956,                0.74422,                 1.0232,                0.79641,                0.65835,                0.72965,                0.42467,                 1.5529,                 1.0812,                  1.295,             0.00067802,             0.00067802,             0.00067802
                     80,                 1.0866,                0.72454,                 1.0257,                 0.7936,                0.67668,                0.72967,                0.42371,                 1.5184,                 1.0951,                 1.2749,             0.00067502,             0.00067502,             0.00067502
                     81,                  1.141,                0.77809,                 1.0468,                0.78398,                0.65977,                0.72622,                0.41724,                  1.534,                 1.1459,                 1.2819,             0.00067202,             0.00067202,             0.00067202
                     82,                 1.1116,                0.75748,                 1.0408,                0.71404,                0.68187,                0.70586,                0.43126,                  1.535,                 1.1188,                 1.2872,             0.00066902,             0.00066902,             0.00066902
                     83,                 1.1157,                0.76498,                 1.0348,                0.80098,                0.65257,                 0.7367,                0.42176,                  1.554,                 1.1527,                 1.3174,             0.00066602,             0.00066602,             0.00066602
                     84,                  1.086,                0.72704,                 1.0184,                0.77501,                 0.6631,                0.73051,                 0.4272,                 1.5586,                  1.073,                 1.3186,             0.00066302,             0.00066302,             0.00066302
                     85,                 1.0585,                0.70591,                 1.0266,                 0.7753,                0.67447,                0.72676,                0.42718,                 1.5554,                 1.1021,                  1.306,             0.00066002,             0.00066002,             0.00066002
                     86,                 1.0623,                0.71194,                 1.0106,                0.75719,                0.66743,                0.71484,                0.40892,                 1.5603,                 1.1157,                 1.3052,             0.00065703,             0.00065703,             0.00065703
                     87,                 1.0889,                0.72718,                 1.0228,                0.79153,                0.62501,                 0.7065,                0.40869,                 1.5419,                 1.1428,                 1.2941,             0.00065403,             0.00065403,             0.00065403
                     88,                 1.0936,                 0.7236,                 1.0231,                0.79357,                0.64564,                0.72265,                0.43183,                 1.5139,                 1.1245,                 1.2743,             0.00065103,             0.00065103,             0.00065103
                     89,                 1.0612,                0.69436,                  1.015,                 0.8026,                0.66264,                0.72404,                 0.4321,                 1.5116,                 1.0973,                 1.2916,             0.00064803,             0.00064803,             0.00064803
                     90,                 1.0495,                0.69747,                 1.0081,                0.73932,                0.65445,                0.70645,                0.41618,                 1.5581,                 1.1575,                 1.3112,             0.00064503,             0.00064503,             0.00064503
                     91,                 1.0726,                0.70129,                 1.0244,                0.73703,                0.65181,                0.68642,                0.39637,                 1.6201,                 1.1697,                 1.3474,             0.00064203,             0.00064203,             0.00064203
                     92,                 1.0678,                0.70368,                 1.0127,                0.72198,                0.67488,                0.70474,                0.40778,                 1.6046,                 1.1114,                 1.3351,             0.00063903,             0.00063903,             0.00063903
                     93,                 1.0577,                 0.6965,                 1.0097,                0.76513,                0.67819,                0.72596,                0.42822,                 1.5702,                  1.102,                 1.3057,             0.00063603,             0.00063603,             0.00063603
                     94,                 1.0589,                0.69031,                 1.0239,                0.76988,                0.67898,                 0.7275,                0.43328,                 1.5672,                 1.0943,                 1.3187,             0.00063303,             0.00063303,             0.00063303
                     95,                  1.063,                0.69527,                 1.0073,                0.80651,                0.65919,                0.74529,                0.43962,                 1.5196,                 1.0973,                 1.2759,             0.00063003,             0.00063003,             0.00063003
                     96,                 1.0327,                0.67812,                 1.0062,                0.80448,                0.67051,                0.74694,                0.45171,                 1.5118,                 1.0576,                 1.2854,             0.00062703,             0.00062703,             0.00062703
                     97,                 1.0194,                0.67628,                 1.0084,                0.82249,                0.63805,                0.72932,                  0.443,                 1.5284,                 1.1324,                 1.2966,             0.00062403,             0.00062403,             0.00062403
                     98,                 1.0295,                0.66867,                 1.0071,                0.81842,                0.65172,                0.74387,                0.44373,                 1.5218,                  1.076,                 1.2862,             0.00062103,             0.00062103,             0.00062103
                     99,                 1.0505,                 0.6904,                 1.0203,                0.74657,                0.69125,                0.71613,                0.43185,                 1.5447,                 1.1224,                 1.3056,             0.00061803,             0.00061803,             0.00061803
                    100,                 1.0496,                0.70079,                  1.018,                0.72055,                0.66456,                0.70542,                0.41758,                 1.5564,                 1.1231,                 1.3145,             0.00061503,             0.00061503,             0.00061503
                    101,                 1.0558,                0.70078,                 1.0153,                0.78711,                0.65119,                0.72498,                0.43485,                 1.5306,                 1.0788,                 1.3041,             0.00061203,             0.00061203,             0.00061203
                    102,                 1.0413,                0.68648,                0.99947,                0.76601,                0.67576,                0.71902,                0.42738,                 1.5453,                  1.107,                 1.3203,             0.00060903,             0.00060903,             0.00060903
                    103,                 1.0239,                0.67586,                 1.0009,                0.78575,                0.65401,                0.72275,                0.44097,                 1.5315,                 1.1186,                 1.3103,             0.00060603,             0.00060603,             0.00060603
                    104,                 1.0104,                0.66471,                 1.0043,                 0.7783,                0.65631,                0.71474,                0.42228,                 1.5409,                 1.1326,                 1.3261,             0.00060303,             0.00060303,             0.00060303
                    105,                 1.0479,                0.67197,                 1.0025,                0.79591,                0.67437,                0.73446,                0.43816,                  1.537,                  1.077,                 1.3158,             0.00060003,             0.00060003,             0.00060003
                    106,                 1.0209,                0.66244,                0.99883,                0.80673,                0.68002,                0.74673,                0.44277,                 1.5266,                 1.0673,                 1.2901,             0.00059703,             0.00059703,             0.00059703
                    107,                 1.0108,                0.65454,                0.99218,                0.77425,                0.68871,                0.73168,                0.43436,                 1.5263,                 1.1012,                 1.3038,             0.00059403,             0.00059403,             0.00059403
                    108,                 1.0233,                0.67174,                 1.0032,                 0.8304,                0.68124,                0.75676,                0.45339,                 1.5203,                 1.0587,                 1.2898,             0.00059103,             0.00059103,             0.00059103
                    109,                 1.0343,                0.66165,                  0.993,                0.74853,                0.69528,                0.74002,                0.44748,                 1.5103,                 1.0666,                 1.2904,             0.00058803,             0.00058803,             0.00058803
                    110,                 1.0325,                0.67095,                0.99423,                0.78124,                 0.6972,                0.73903,                0.44229,                 1.5424,                 1.0822,                 1.3106,             0.00058503,             0.00058503,             0.00058503
                    111,                 1.0035,                0.65225,                0.99234,                0.82979,                0.65966,                0.74529,                0.43984,                 1.5197,                 1.0875,                 1.2888,             0.00058203,             0.00058203,             0.00058203
                    112,                0.99374,                0.65798,                0.99244,                0.78126,                0.65235,                0.72139,                0.43697,                 1.5122,                 1.0965,                 1.3214,             0.00057903,             0.00057903,             0.00057903
                    113,                  1.051,                0.66321,                 1.0046,                0.78285,                0.67005,                0.72157,                0.43125,                  1.533,                 1.1003,                 1.3138,             0.00057603,             0.00057603,             0.00057603
                    114,                 1.0178,                0.65705,                0.99164,                0.80738,                0.66299,                0.73636,                0.44051,                 1.5073,                 1.0995,                 1.2995,             0.00057303,             0.00057303,             0.00057303
                    115,                0.99866,                0.64146,                 0.9893,                0.76457,                0.70934,                0.73289,                0.43725,                  1.522,                 1.0753,                  1.314,             0.00057003,             0.00057003,             0.00057003
                    116,                  1.012,                 0.6433,                0.98858,                 0.7793,                0.68457,                0.73888,                0.42832,                 1.5272,                 1.1063,                 1.3066,             0.00056703,             0.00056703,             0.00056703
                    117,                  1.001,                0.64681,                 1.0001,                0.77999,                0.69121,                0.73434,                0.43807,                 1.5454,                 1.0971,                 1.3065,             0.00056403,             0.00056403,             0.00056403
                    118,                 0.9923,                0.64802,                0.99136,                0.73332,                0.71346,                0.73483,                0.43546,                 1.5418,                 1.1013,                  1.305,             0.00056103,             0.00056103,             0.00056103
                    119,                0.97074,                0.63785,                0.98233,                0.76743,                0.72451,                0.74095,                0.44066,                 1.5237,                 1.0911,                 1.3115,             0.00055804,             0.00055804,             0.00055804
                    120,                0.98255,                0.62727,                 0.9763,                  0.752,                0.70882,                0.73629,                0.44643,                 1.5264,                 1.0741,                 1.3227,             0.00055504,             0.00055504,             0.00055504
                    121,                0.99106,                0.64098,                0.99381,                 0.8278,                0.65535,                0.73741,                0.43405,                 1.5355,                 1.0746,                 1.3262,             0.00055204,             0.00055204,             0.00055204
                    122,                0.99505,                0.64065,                0.98762,                0.81644,                0.69643,                0.75889,                0.45238,                 1.5265,                 1.0477,                 1.3198,             0.00054904,             0.00054904,             0.00054904
                    123,                0.99571,                0.64716,                0.99149,                0.80653,                0.69671,                 0.7553,                 0.4421,                 1.5256,                 1.0742,                 1.3039,             0.00054604,             0.00054604,             0.00054604
                    124,                0.99556,                 0.6326,                0.98364,                0.77806,                0.69913,                0.73714,                 0.4346,                 1.5505,                 1.0517,                 1.3226,             0.00054304,             0.00054304,             0.00054304
                    125,                 1.0149,                0.64114,                0.98826,                0.81494,                0.68706,                0.75455,                0.44333,                 1.5552,                    1.1,                 1.3006,             0.00054004,             0.00054004,             0.00054004
                    126,                 1.0001,                0.63138,                0.98249,                0.80613,                0.66044,                0.73839,                0.43817,                 1.5648,                 1.1438,                 1.3099,             0.00053704,             0.00053704,             0.00053704
                    127,                0.99585,                0.63152,                 0.9796,                 0.8142,                0.68113,                0.73638,                0.43487,                 1.5895,                  1.084,                 1.3337,             0.00053404,             0.00053404,             0.00053404
                    128,                0.99051,                 0.6227,                0.98047,                0.80825,                0.69245,                0.74759,                0.44852,                 1.5659,                 1.0409,                 1.3286,             0.00053104,             0.00053104,             0.00053104
                    129,                0.99957,                0.62798,                0.98247,                0.73905,                0.71297,                0.74148,                0.44628,                  1.535,                 1.0718,                 1.3184,             0.00052804,             0.00052804,             0.00052804
                    130,                0.99493,                0.63439,                0.98921,                0.76666,                0.69277,                0.74343,                0.45256,                 1.5458,                 1.0441,                 1.3194,             0.00052504,             0.00052504,             0.00052504
                    131,                0.95077,                0.60623,                0.97766,                0.77547,                0.68482,                0.73857,                0.45018,                 1.5231,                 1.1112,                 1.3096,             0.00052204,             0.00052204,             0.00052204
                    132,                0.98002,                0.62205,                0.97709,                0.82577,                0.64585,                0.72667,                0.42422,                 1.5639,                 1.1121,                 1.3286,             0.00051904,             0.00051904,             0.00051904
                    133,                0.95833,                 0.6082,                0.97467,                0.83731,                0.65185,                0.74172,                0.44508,                 1.5359,                 1.0399,                 1.3265,             0.00051604,             0.00051604,             0.00051604
                    134,                0.97167,                0.62608,                0.98404,                0.82267,                0.67131,                0.74862,                0.44347,                 1.5489,                 1.0802,                 1.3221,             0.00051304,             0.00051304,             0.00051304
                    135,                0.99859,                0.63078,                 0.9834,                0.81729,                0.68323,                0.75588,                0.44602,                 1.5576,                 1.0766,                 1.3204,             0.00051004,             0.00051004,             0.00051004
                    136,                0.99836,                0.62544,                0.98149,                 0.8209,                0.68804,                0.74118,                0.43192,                 1.5466,                 1.0214,                 1.3262,             0.00050704,             0.00050704,             0.00050704
                    137,                0.96431,                 0.6093,                0.97363,                0.79548,                0.69144,                0.73976,                0.43502,                 1.5454,                 1.0618,                 1.3194,             0.00050404,             0.00050404,             0.00050404
                    138,                0.94107,                0.59557,                0.96954,                0.79773,                0.67947,                0.72467,                0.42335,                 1.5571,                 1.1168,                 1.3187,             0.00050104,             0.00050104,             0.00050104
                    139,                0.96988,                0.60488,                0.97412,                0.77603,                0.66064,                0.71535,                0.42714,                 1.5446,                 1.1557,                 1.3049,             0.00049804,             0.00049804,             0.00049804
                    140,                 0.9399,                0.60585,                 0.9686,                0.80576,                0.64655,                0.74146,                0.43838,                 1.5194,                 1.1199,                 1.3057,             0.00049504,             0.00049504,             0.00049504
                    141,                0.95747,                0.61536,                 0.9735,                0.81193,                0.66861,                 0.7417,                 0.4469,                 1.5214,                 1.0989,                 1.3034,             0.00049204,             0.00049204,             0.00049204
                    142,                0.96719,                 0.6026,                0.96455,                0.83782,                0.67386,                0.73402,                0.43154,                 1.5319,                 1.1203,                 1.3083,             0.00048904,             0.00048904,             0.00048904
                    143,                0.95484,                0.61983,                0.97626,                0.84735,                0.65833,                0.73761,                0.43852,                 1.5572,                 1.0817,                 1.3466,             0.00048604,             0.00048604,             0.00048604
                    144,                0.95185,                0.60293,                0.97492,                0.78081,                 0.7055,                0.75008,                0.45169,                 1.5464,                 1.0808,                 1.3232,             0.00048304,             0.00048304,             0.00048304
                    145,                0.93905,                0.60264,                0.96661,                 0.7981,                0.70183,                0.75335,                 0.4606,                 1.5387,                 1.0493,                 1.3228,             0.00048004,             0.00048004,             0.00048004
                    146,                0.93319,                 0.5846,                0.96931,                0.76608,                0.72064,                0.74971,                 0.4555,                 1.5298,                 1.0507,                 1.3151,             0.00047704,             0.00047704,             0.00047704
                    147,                0.95549,                0.60269,                0.97437,                0.75233,                 0.7162,                0.74708,                0.44841,                 1.5284,                 1.0827,                 1.3047,             0.00047404,             0.00047404,             0.00047404
